081,'IDBMSB',2,T,'bustr','bvstr',              'Bottom Stress Barbs'
082,'IDBMSC',4,T,'bustr','bvstr',              'Bottom Stress Curl (m/s2)'
083,'IDBMEK',4,T,'bustr','bvstr',              'Bottom Ekman Pumping (m/s)'
084,'IDBWSX',1,T,'bustrw','-',                 'Bed Wave U-Stress (Pa)'
085,'IDBWSY',1,T,'bvstrw','-',                 'Bed Wave V-Stress (Pa)'
086,'IDBWSV',2,T,'bustrw','bvstrw',            'Bed Wave Stress Vectors (Pa)'
087,'IDBWSM',2,T,'bustrw','bvstrw',            'Bed Wave Stress Magnitude (Pa)'
088,'IDBWSS',2,T,'bustrw','bvstrw',            'Bed Wave Stress Streamlines'
089,'IDBWSB',2,T,'bustrw','bvstrw',            'Bed Wave Stress Barbs'
090,'IDBWSC',4,T,'bustrw','bvstrw',            'Bed Wave Stress Curl (m/s2)'
091,'IDBWEK',4,T,'bustrw','bvstrw',            'Bed Wave Ekman Pumping (m/s)'
092,'IDSUWD',1,T,'Uwind','-',                  'Surface U-Wind (m/s)'
093,'IDSVWD',1,T,'Vwind','-',                  'Surface V-Wind (m/s)'
094,'IDSWDV',2,T,'Uwind','Vwind',              'Surface Wind Vectors (m/s)'
095,'IDSWDM',2,T,'Uwind','Vwind',              'Surface Wind Magnitude (m/s)'
096,'IDSWDS',2,T,'Uwind','Vwind',              'Surface Wind Streamlines'
097,'IDSWDB',2,T,'Uwind','Vwind',              'Surface Wind Barbs'
098,'IDABED',1,T,'bed_wave_amp','-',           'Bed Wave Excursion Amplitude (m)'
099,'IDUBED',1,T,'Ubed','-',                   'Bed Wave Orbital U-Velocity (cm/s)'
100,'IDVBED',1,T,'Vbed','-',                   'Bed Wave Orbital V-velocity (cm/s)'
101,'IDBEDV',2,T,'Ubed','Vbed',                'Bed Wave Orbital Vectors (cm/s)'
102,'IDBEDM',2,T,'Ubed','Vbed',                'Bed Wave Orbital Magnitude (cm/s)'
103,'IDBEDS',2,T,'Ubed','Vbed',                'Bed Wave Orbital Streamlines'
104,'IDBEDB',2,T,'Ubed','Vbed',                'Bed Wave Orbital Barbs'
105,'IDUBOT',1,T,'Ubot','-',                   'Bottom U-velocity (cm/s)'
106,'IDVBOT',1,T,'Vbot','-',                   'Bottom V-velocity (cm/s)'
107,'IDBOTV',2,T,'Ubot','Vbot',                'Bottom Velocity Vectors (cm/s)'
108,'IDBOTM',2,T,'Ubot','Vbot',                'Bottom Velocity Magnitude (cm/s)'
109,'IDBOTS',2,T,'Ubot','Vbot',                'Bottom Velocity Streamlines'
110,'IDBOTB',2,T,'Ubot','Vbot',                'Bottom Velocity Barbs'
111,'IDZNOT',1,T,'Zbnot','-',                  'Hydraulic Bottom Roughness (m)'
112,'IDZAPP',1,T,'Zo_app','-',                 'Apparent Hydraulic Bottom Roughness (m)'
113,'IDHRIP',1,T,'Hripple','-',                'Bed Ripple Height (m)'
114,'IDLRIP',1,T,'Lripple','-',                'Bed Ripple Length (m)'
115,'IDRELH',1,T,'Qair','-',                   'Relative Humidity (%)'
116,'IDCFRA',1,T,'cloud','-',                  'Cloud Fraction (%)'
117,'IDRAIN',1,T,'rain','-',                   'Rain Fall Rate (cm/hour)'
118,'IDPAIR',1,T,'Pair','-',                   'Surface Air Pressure (mbar)'
119,'IDTAIR',1,T,'Tair','-',                   'Surface Air Temperature (K)'
120,'IDTDEW',1,T,'Tdew','-',                   'Surface Dew-Point Temperature (K)'
121,'IDFSSH',1,T,'SSH','-',                    'Sea Surface Height (m)'
122,'IDFSST',1,T,'SST','-',                    'Sea Surface Temperature (C)'
123,'IDDQDT',1,T,'dQdSST','-',                 'dQdT (Watts/m2/Celsius)'
124,'IDSHFX',1,T,'shflux','-',                 'Surface Net Heat Flux (W/m2)'
125,'IDSRAD',1,T,'swrad','-',                  'Shortwave Radiation Flux (W/m2)'
126,'IDLRAD',1,T,'lwrad','-',                  'Longwave Radiation Flux (W/m2)'
127,'IDSLHF',1,T,'latent','-',                 'Latent Heat Flux (W/m2)'
128,'IDSSHF',1,T,'sensible','-',               'Sensible Heat Flux (W/m2)'
129,'IDSWFX',1,T,'swflux','-',                 'Surface Freshwater Flux, E-P (m/day)'
130,'IDKENG',3,F,'u','v',                      'Kinetic Energy (Watts)'
131,'IDPENG',4,F,'rho','-',                    'Potential Energy (Watts)'
132,'IDPVOR',4,F,'temp','salt',                'Potential Vorticity (1/s/m)'
133,'IDERPV',4,F,'u','v',                      'Ertel Potential Vorticity (1/s/m)'
134,'IDTVRV',4,F,'u','v',                      'Relative Vorticity (1/s)'
135,'IDBVRV',4,T,'ubar','vbar',                'Barotropic Relative Vorticity (1/s)'
136,'IDCVRV',4,F,'u','v',                      'Baroclinic Relative Vorticity (1/s)'
137,'IDSWRV',4,T,'uwind','vwind',              'Surface Wind Relative Vorticity (1/s)'
138,'IDTVHD',4,F,'u','v',                      'Total Divergence (1/s)'
139,'IDBVHD',4,T,'ubar','vbar',                'Barotropic divergence (1/s)'
140,'IDBVHD',4,F,'u','v',                      'Baroclinic divergence (1/s)'
